,YEAR,EXPERIENCE,EMPLOYMENT,TITLE,LOCATION,COMPANYSIZE,SALARY
217,2023,Mid Level,Full time,Big Data Engineer,ES,Medium,48289
218,2023,Mid Level,Full time,Data Analyst,US,Medium,90000
219,2023,Mid Level,Full time,Data Analyst,US,Medium,75000
220,2023,Mid Level,Full time,Research Scientist,GB,Medium,195895
221,2023,Mid Level,Full time,Research Scientist,GB,Medium,102772
222,2023,Mid Level,Full time,Data Specialist,US,Medium,130000
223,2023,Mid Level,Full time,Data Specialist,US,Medium,80000
224,2023,Mid Level,Full time,Data Scientist,US,Medium,180000
225,2023,Mid Level,Full time,Data Scientist,US,Medium,140000
226,2023,Mid Level,Full time,Lead Data Analyst,US,Large,68000
227,2023,Mid Level,Full time,Data Engineer,US,Medium,125000
228,2023,Mid Level,Full time,Data Engineer,US,Medium,90000
229,2023,Mid Level,Full time,Data Manager,US,Medium,135000
230,2023,Mid Level,Full time,Data Manager,US,Medium,120000
231,2023,Mid Level,Full time,Data Analyst,US,Medium,182500
232,2023,Mid Level,Full time,Data Analyst,US,Medium,121500
233,2023,Mid Level,Full time,Data Analyst,GB,Medium,72914
234,2023,Mid Level,Full time,Data Analyst,US,Medium,121500
235,2023,Mid Level,Full time,Data Analyst,GB,Medium,72914
236,2023,Mid Level,Full time,Data Analyst,GB,Medium,54685
237,2023,Mid Level,Full time,Data Architect,US,Medium,167500
238,2023,Mid Level,Full time,Data Architect,US,Medium,106500
239,2023,Mid Level,Full time,Data Engineer,US,Medium,146000
240,2023,Mid Level,Full time,Data Engineer,US,Medium,75000
241,2023,Mid Level,Full time,Machine Learning Scientist,US,Medium,230000
242,2023,Mid Level,Full time,Machine Learning Scientist,US,Medium,220000
243,2023,Mid Level,Full time,Research Scientist,US,Medium,210000
244,2023,Mid Level,Full time,Research Scientist,US,Medium,151800
245,2023,Mid Level,Full time,MLOps Engineer,US,Large,135000
246,2023,Mid Level,Full time,MLOps Engineer,US,Large,104000
247,2023,Mid Level,Full time,MLOps Engineer,US,Medium,134000
248,2023,Mid Level,Full time,MLOps Engineer,US,Medium,124000
251,2023,Mid Level,Full time,Machine Learning Engineer,US,Large,135000
252,2023,Mid Level,Full time,Data Engineer,US,Medium,143865
253,2023,Mid Level,Full time,Data Engineer,US,Medium,115092
254,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,130000
255,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,90000
256,2023,Mid Level,Full time,Data Engineer,US,Medium,149600
257,2023,Mid Level,Full time,Data Engineer,US,Medium,102000
258,2023,Mid Level,Full time,Data Scientist,IE,Medium,96578
259,2023,Mid Level,Full time,Data Scientist,IE,Medium,80481
260,2023,Mid Level,Full time,Data Analyst,US,Medium,128000
261,2023,Mid Level,Full time,Data Analyst,US,Medium,85000
262,2023,Mid Level,Full time,Data Engineer,US,Medium,151000
263,2023,Mid Level,Full time,Data Engineer,US,Medium,140000
264,2023,Mid Level,Full time,Data Analyst,US,Medium,154000
265,2023,Mid Level,Full time,Data Analyst,US,Medium,143000
266,2023,Mid Level,Full time,Data Scientist,GB,Medium,78990
267,2023,Mid Level,Full time,Data Scientist,GB,Medium,51039
268,2023,Mid Level,Full time,Data Scientist,GB,Medium,85066
270,2023,Mid Level,Full time,Data Scientist,GB,Medium,109371
271,2023,Mid Level,Full time,Data Scientist,GB,Medium,72914
273,2023,Mid Level,Full time,Data Engineer,US,Medium,60400
274,2023,Mid Level,Full time,Data Scientist,DE,Medium,60093
275,2023,Mid Level,Full time,Data Analyst,US,Medium,83500
276,2023,Mid Level,Full time,Data Analyst,US,Medium,52500
279,2023,Mid Level,Full time,Data Engineer,US,Medium,145000
280,2023,Mid Level,Full time,Data Engineer,US,Medium,120000
281,2023,Mid Level,Full time,Data Analyst,US,Medium,206000
282,2023,Mid Level,Full time,Data Analyst,US,Medium,130000
283,2023,Mid Level,Full time,Data Analyst,US,Medium,160000
284,2023,Mid Level,Full time,Data Analyst,US,Medium,112000
287,2023,Mid Level,Full time,Data Scientist,US,Medium,145000
288,2023,Mid Level,Full time,Data Scientist,US,Medium,100000
291,2023,Mid Level,Full time,Data Analyst,US,Medium,100000
293,2023,Mid Level,Full time,Data Engineer,GB,Medium,85066
294,2023,Mid Level,Full time,Data Engineer,GB,Medium,57723
296,2023,Mid Level,Full time,Data Engineer,US,Medium,95000
297,2023,Mid Level,Full time,Financial Data Analyst,US,Large,130000
299,2023,Mid Level,Full time,Data Analyst,US,Medium,65000
300,2023,Mid Level,Full time,ML Engineer,US,Medium,160000
301,2023,Mid Level,Full time,ML Engineer,US,Medium,147000
302,2023,Mid Level,Full time,Software Data Engineer,SG,Large,75020
303,2023,Mid Level,Full time,Data Scientist,IN,Large,17022
304,2023,Mid Level,Full time,Lead Data Analyst,IN,Large,18238
306,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,150000
307,2023,Mid Level,Full time,Analytics Engineer,US,Medium,185700
308,2023,Mid Level,Full time,Analytics Engineer,US,Medium,165000
309,2023,Mid Level,Full time,Data Scientist,ES,Medium,59020
310,2023,Mid Level,Full time,Data Scientist,ES,Medium,48289
311,2023,Mid Level,Full time,Data Engineer,SI,Medium,75116
312,2023,Mid Level,Full time,Data Engineer,SI,Medium,48289
313,2023,Mid Level,Full time,Data Scientist,US,Medium,128750
314,2023,Mid Level,Full time,Data Scientist,US,Medium,106250
317,2023,Mid Level,Full time,Data Analyst,CA,Medium,130000
318,2023,Mid Level,Full time,Data Analyst,CA,Medium,100000
319,2023,Mid Level,Full time,Data Science Manager,US,Medium,104500
320,2023,Mid Level,Full time,Data Science Manager,US,Medium,70000
321,2023,Mid Level,Full time,Data Science Consultant,US,Medium,90000
322,2023,Mid Level,Full time,Data Science Consultant,US,Medium,70000
323,2023,Mid Level,Full time,Research Scientist,US,Medium,185000
324,2023,Mid Level,Full time,Research Scientist,US,Medium,125000
325,2023,Mid Level,Full time,Data Scientist,US,Medium,200000
326,2023,Mid Level,Full time,Data Scientist,US,Medium,150000
327,2023,Mid Level,Full time,Data Engineer,MX,Medium,72000
328,2023,Mid Level,Full time,Data Engineer,MX,Medium,60000
329,2023,Mid Level,Full time,Data Engineer,US,Medium,260000
330,2023,Mid Level,Full time,Data Engineer,US,Medium,175000
331,2023,Mid Level,Full time,Research Scientist,US,Medium,340000
332,2023,Mid Level,Full time,Research Scientist,US,Medium,150000
333,2023,Mid Level,Full time,Data Engineer,US,Medium,250000
335,2023,Mid Level,Full time,Data Scientist,FR,Medium,64385
340,2023,Mid Level,Full time,Data Analyst,GB,Medium,97218
341,2023,Mid Level,Full time,Data Analyst,GB,Medium,48609
345,2023,Mid Level,Full time,Data Scientist,US,Medium,97750
346,2023,Mid Level,Full time,Data Scientist,US,Medium,116990
347,2023,Mid Level,Full time,Data Scientist,US,Medium,82920
348,2023,Mid Level,Full time,Machine Learning Scientist,US,Small,200000
349,2023,Mid Level,Full time,Machine Learning Scientist,US,Small,125000
350,2023,Mid Level,Full time,Machine Learning Infrastructure Engineer,US,Medium,205920
351,2023,Mid Level,Full time,Machine Learning Infrastructure Engineer,US,Medium,171600
352,2023,Mid Level,Full time,Data Engineer,US,Medium,154000
353,2023,Mid Level,Full time,Data Engineer,US,Medium,116000
354,2023,Mid Level,Full time,Data Analyst,GB,Medium,78990
355,2023,Mid Level,Full time,Data Analyst,GB,Medium,43809
356,2023,Mid Level,Full time,Data Engineer,US,Medium,200000
358,2023,Mid Level,Full time,Data Engineer,GB,Medium,127599
359,2023,Mid Level,Full time,Data Engineer,GB,Medium,103294
364,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,200000
365,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,175000
366,2023,Mid Level,Full time,Data Scientist,FR,Large,40000
369,2023,Mid Level,Full time,Insight Analyst,GB,Medium,51039
370,2023,Mid Level,Full time,Insight Analyst,GB,Medium,42533
371,2023,Mid Level,Full time,Applied Machine Learning Engineer,US,Medium,130000
372,2023,Mid Level,Full time,AI Scientist,ES,Large,38631
373,2023,Mid Level,Full time,Deep Learning Engineer,US,Medium,150000
374,2023,Mid Level,Full time,Deep Learning Engineer,US,Medium,100000
375,2023,Mid Level,Full time,Data Engineer,GB,Large,115447
376,2023,Mid Level,Full time,Data Infrastructure Engineer,US,Medium,190000
377,2023,Mid Level,Full time,Data Infrastructure Engineer,US,Medium,160000
379,2023,Mid Level,Full time,Data Infrastructure Engineer,US,Medium,183310
380,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,148500
381,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,126277
382,2023,Mid Level,Full time,Data Analyst,US,Medium,80000
383,2023,Mid Level,Full time,Data Analyst,US,Medium,60000
386,2023,Mid Level,Full time,Data Analyst,HR,Medium,109371
387,2023,Mid Level,Full time,Data Analyst,HR,Medium,72914
392,2023,Mid Level,Full time,Data Science Lead,GB,Medium,72914
393,2023,Mid Level,Full time,Data Science Lead,GB,Medium,60761
394,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,48609
395,2023,Mid Level,Full time,Data Analyst,US,Medium,165000
396,2023,Mid Level,Full time,Data Analyst,US,Medium,124000
397,2023,Mid Level,Full time,Data Scientist,US,Medium,170000
398,2023,Mid Level,Full time,Data Scientist,US,Medium,120000
399,2023,Mid Level,Full time,Product Data Analyst,IN,Large,16414
400,2023,Mid Level,Full time,Data Analyst,US,Medium,125000
401,2023,Mid Level,Full time,Data Analyst,US,Medium,105000
402,2023,Mid Level,Full time,Data Analyst,GB,Medium,109371
403,2023,Mid Level,Full time,Data Analyst,GB,Medium,85066
405,2023,Mid Level,Full time,Data Analyst,US,Medium,95000
406,2023,Mid Level,Full time,Machine Learning Engineer,MX,Small,36000
407,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,121523
408,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,97218
409,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,145828
411,2023,Mid Level,Full time,Data Engineer,GB,Medium,66837
412,2023,Mid Level,Full time,Data Engineer,GB,Medium,63192
413,2023,Mid Level,Full time,Data Analyst,GB,Medium,60761
415,2023,Mid Level,Full time,Data Scientist,US,Medium,151410
416,2023,Mid Level,Full time,Data Scientist,US,Medium,115360
417,2023,Mid Level,Full time,Data Engineer,ES,Medium,66531
418,2023,Mid Level,Full time,Data Engineer,ES,Medium,59020
419,2023,Mid Level,Full time,Research Scientist,US,Medium,85000
420,2023,Mid Level,Full time,Research Scientist,US,Medium,70000
423,2023,Mid Level,Full time,Machine Learning Engineer,US,Large,110000
428,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,180000
430,2023,Mid Level,Full time,Data Analyst,US,Medium,103200
431,2023,Mid Level,Full time,Data Analyst,US,Medium,61200
432,2023,Mid Level,Full time,Head of Data Science,IN,Large,60795
433,2023,Mid Level,Full time,Data Science Manager,US,Medium,220000
434,2023,Mid Level,Full time,Data Science Manager,US,Medium,195000
437,2023,Mid Level,Full time,Data Analyst,US,Medium,109000
438,2023,Mid Level,Full time,Data Analyst,US,Medium,79000
439,2023,Mid Level,Full time,Machine Learning Engineer,AM,Small,50000
450,2023,Mid Level,Full time,Data Engineer,US,Medium,150000
452,2023,Mid Level,Full time,Applied Data Scientist,KE,Small,80000
453,2023,Mid Level,Full time,Data Analytics Lead,SG,Medium,17509
454,2023,Mid Level,Full time,Data Scientist,RO,Large,53654
457,2023,Mid Level,Full time,Data Analyst,US,Medium,120000
459,2023,Mid Level,Full time,Data Scientist,US,Medium,183310
461,2023,Mid Level,Full time,Data Scientist,TH,Large,24740
462,2023,Mid Level,Full time,Data Analyst,US,Medium,135000
463,2023,Mid Level,Full time,Data Analyst,US,Medium,105500
468,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,145000
469,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,87000
470,2023,Mid Level,Full time,Data Engineer,ES,Medium,95000
471,2023,Mid Level,Full time,Data Engineer,ES,Medium,80000
472,2023,Mid Level,Full time,Data Analyst,US,Medium,116000
473,2023,Mid Level,Full time,Data Analyst,US,Medium,72000
474,2023,Mid Level,Full time,Data Engineer,US,Medium,105000
478,2023,Mid Level,Full time,Machine Learning Engineer,US,Large,219000
482,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,140000
483,2023,Mid Level,Full time,Data Scientist,US,Medium,187500
484,2023,Mid Level,Full time,Data Scientist,US,Medium,165000
485,2023,Mid Level,Full time,Machine Learning Research Engineer,GB,Large,72914
486,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,109006
487,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,67141
488,2023,Mid Level,Full time,Research Engineer,US,Medium,120000
489,2023,Mid Level,Full time,Research Engineer,US,Medium,100000
493,2023,Mid Level,Full time,Data Scientist,US,Medium,105000
494,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,75344
495,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,63192
496,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,58331
497,2023,Mid Level,Full time,Machine Learning Engineer,GB,Medium,46178
500,2023,Mid Level,Full time,Data Scientist,US,Medium,130000
501,2023,Mid Level,Full time,Data Scientist,US,Medium,90000
502,2023,Senior,Full time,Principal Data Scientist,ES,Large,85847
503,2023,Senior,Full time,Data Scientist,CA,Medium,175000
504,2023,Senior,Full time,Data Scientist,CA,Medium,120000
505,2023,Senior,Full time,Applied Scientist,US,Large,222200
506,2023,Senior,Full time,Applied Scientist,US,Large,136000
507,2023,Senior,Full time,Data Scientist,CA,Medium,219000
508,2023,Senior,Full time,Data Scientist,CA,Medium,141000
509,2023,Senior,Full time,Data Scientist,US,Medium,147100
510,2023,Senior,Full time,Data Scientist,US,Medium,90700
511,2023,Senior,Full time,Data Analyst,US,Medium,130000
512,2023,Senior,Full time,Data Analyst,US,Medium,100000
513,2023,Senior,Full time,Data Modeler,US,Medium,147100
514,2023,Senior,Full time,Data Modeler,US,Medium,90700
515,2023,Senior,Full time,Data Scientist,US,Medium,170000
516,2023,Senior,Full time,Data Scientist,US,Medium,150000
517,2023,Senior,Full time,Research Engineer,DE,Medium,275000
518,2023,Senior,Full time,Research Engineer,DE,Medium,174000
519,2023,Senior,Full time,Analytics Engineer,GB,Medium,230000
520,2023,Senior,Full time,Analytics Engineer,GB,Medium,143200
521,2023,Senior,Full time,Business Intelligence Engineer,US,Medium,225000
522,2023,Senior,Full time,Business Intelligence Engineer,US,Medium,156400
523,2023,Senior,Full time,Machine Learning Engineer,US,Medium,200000
524,2023,Senior,Full time,Machine Learning Engineer,US,Medium,130000
525,2023,Senior,Full time,Data Strategist,CA,Medium,90000
526,2023,Senior,Full time,Data Strategist,CA,Medium,72000
527,2023,Senior,Full time,Data Engineer,US,Medium,253200
528,2023,Senior,Full time,Data Engineer,US,Medium,90700
529,2023,Senior,Full time,Computer Vision Engineer,US,Medium,342810
530,2023,Senior,Full time,Computer Vision Engineer,US,Medium,184590
531,2023,Senior,Full time,Data Engineer,US,Medium,270703
532,2023,Senior,Full time,Data Engineer,US,Medium,221484
533,2023,Senior,Full time,Data Scientist,US,Medium,212750
534,2023,Senior,Full time,Data Scientist,US,Medium,185000
535,2023,Senior,Full time,Data Scientist,US,Medium,262000
536,2023,Senior,Full time,Data Scientist,US,Medium,245000
537,2023,Senior,Full time,Data Scientist,US,Medium,275300
538,2023,Senior,Full time,Data Scientist,US,Medium,183500
539,2023,Senior,Full time,Data Scientist,US,Medium,218500
540,2023,Senior,Full time,Data Scientist,US,Medium,199098
541,2023,Senior,Full time,Data Engineer,US,Medium,203300
542,2023,Senior,Full time,Data Engineer,US,Medium,123600
543,2023,Senior,Full time,Research Engineer,US,Medium,189110
544,2023,Senior,Full time,Research Engineer,US,Medium,139000
545,2023,Senior,Full time,Data Engineer,US,Medium,231500
546,2023,Senior,Full time,Data Engineer,US,Medium,166000
547,2023,Senior,Full time,Data Scientist,US,Medium,172500
548,2023,Senior,Full time,Data Scientist,US,Medium,110500
549,2023,Senior,Full time,Data Engineer,US,Medium,238000
550,2023,Senior,Full time,Data Engineer,US,Medium,176000
551,2023,Senior,Full time,Data Engineer,US,Medium,237000
552,2023,Senior,Full time,Data Engineer,US,Medium,201450
553,2023,Senior,Full time,Applied Scientist,US,Large,309400
554,2023,Senior,Full time,Applied Scientist,US,Large,159100
555,2023,Senior,Full time,Data Engineer,US,Medium,115000
556,2023,Senior,Full time,Data Engineer,US,Medium,81500
557,2023,Senior,Full time,Data Scientist,US,Medium,237000
558,2023,Senior,Full time,Data Scientist,US,Medium,201450
559,2023,Senior,Full time,Computer Vision Engineer,US,Medium,280000
560,2023,Senior,Full time,Computer Vision Engineer,US,Medium,210000
561,2023,Senior,Full time,Data Architect,US,Medium,280100
562,2023,Senior,Full time,Data Architect,US,Medium,168100
563,2023,Senior,Full time,Data Engineer,US,Medium,193500
564,2023,Senior,Full time,Data Engineer,US,Medium,139000
565,2023,Senior,Full time,Machine Learning Engineer,US,Medium,150000
566,2023,Senior,Full time,Business Intelligence Engineer,US,Medium,185900
567,2023,Senior,Full time,Business Intelligence Engineer,US,Medium,129300
568,2023,Senior,Full time,Data Engineer,US,Medium,225000
569,2023,Senior,Full time,Data Engineer,US,Medium,175000
570,2023,Senior,Full time,Data Engineer,US,Medium,185000
571,2023,Senior,Full time,Data Engineer,US,Medium,140000
572,2023,Senior,Full time,Data Scientist,ES,Medium,48289
573,2023,Senior,Full time,Data Scientist,ES,Medium,38631
574,2023,Senior,Full time,Data Scientist,US,Medium,105000
575,2023,Senior,Full time,Data Scientist,US,Medium,70000
576,2023,Senior,Full time,Data Engineer,US,Medium,217000
578,2023,Senior,Full time,Data Analyst,US,Large,202800
579,2023,Senior,Full time,Data Analyst,US,Large,104300
